No,Username,Category,Is_Suspicious,Profile_URL
1,21thri,개인/일반,N,https://www.instagram.com/21thri/
2,44khz_,음악/힙합,N,https://www.instagram.com/44khz_/
3,__12.15__,개인/일반,Y,https://www.instagram.com/__12.15__/
4,_chowooshin,개인/일반,N,https://www.instagram.com/_chowooshin/
5,_kkkkim__,개인/일반,N,https://www.instagram.com/_kkkkim__/
6,a._.rararanii,개인/일반,N,https://www.instagram.com/a._.rararanii/
7,alcho_owl,개인/일반,N,https://www.instagram.com/alcho_owl/
8,bbab._.bbab,개인/일반,N,https://www.instagram.com/bbab._.bbab/
9,blankmind.vibes,개인/일반,N,https://www.instagram.com/blankmind.vibes/
10,chaehee.e,개인/일반,N,https://www.instagram.com/chaehee.e/
11,choisanghwi,개인/일반,N,https://www.instagram.com/choisanghwi/
12,crowoo_ovo,개인/일반,N,https://www.instagram.com/crowoo_ovo/
13,ectobike,바이크/모빌리티,N,https://www.instagram.com/ectobike/
14,front.mieongin,개인/일반,N,https://www.instagram.com/front.mieongin/
15,giuvin,개인/일반,N,https://www.instagram.com/giuvin/
16,grease_monkey_helldive,개인/일반,N,https://www.instagram.com/grease_monkey_helldive/
17,had_usac,개인/일반,N,https://www.instagram.com/had_usac/
18,hhj_min5,개인/일반,N,https://www.instagram.com/hhj_min5/
19,holy_parkcode,개인/일반,N,https://www.instagram.com/holy_parkcode/
20,hsh895_09,개인/일반,Y,https://www.instagram.com/hsh895_09/
21,hwan4540,개인/일반,Y,https://www.instagram.com/hwan4540/
22,hyung._.93,개인/일반,N,https://www.instagram.com/hyung._.93/
23,iamgalgeemao,개인/일반,N,https://www.instagram.com/iamgalgeemao/
24,icetray_official,비즈니스,N,https://www.instagram.com/icetray_official/
25,insung1929,개인/일반,N,https://www.instagram.com/insung1929/
26,isolated.sup,개인/일반,N,https://www.instagram.com/isolated.sup/
27,jin.b_,개인/일반,Y,https://www.instagram.com/jin.b_/
28,jlkk_24,개인/일반,N,https://www.instagram.com/jlkk_24/
29,joyabrello,개인/일반,N,https://www.instagram.com/joyabrello/
30,keldqjt,개인/일반,Y,https://www.instagram.com/keldqjt/
31,ksh2034,개인/일반,Y,https://www.instagram.com/ksh2034/
32,kxmmxngx,개인/일반,Y,https://www.instagram.com/kxmmxngx/
33,kyoka_henna,개인/일반,N,https://www.instagram.com/kyoka_henna/
34,lt.split,개인/일반,Y,https://www.instagram.com/lt.split/
35,mangnuykeus,개인/일반,N,https://www.instagram.com/mangnuykeus/
36,memagirllol,개인/일반,N,https://www.instagram.com/memagirllol/
37,moai.drummer.sh,음악/힙합,N,https://www.instagram.com/moai.drummer.sh/
38,mooi_wellness,뷰티/웰니스,N,https://www.instagram.com/mooi_wellness/
39,myeongceol_bag,개인/일반,N,https://www.instagram.com/myeongceol_bag/
40,mzordyy,개인/일반,N,https://www.instagram.com/mzordyy/
41,nijeong_a,개인/일반,N,https://www.instagram.com/nijeong_a/
42,now_im_y0ng,개인/일반,N,https://www.instagram.com/now_im_y0ng/
43,ob_do_c,개인/일반,N,https://www.instagram.com/ob_do_c/
44,onul_nell,개인/일반,N,https://www.instagram.com/onul_nell/
45,osenti,개인/일반,N,https://www.instagram.com/osenti/
46,p_sssssssang,개인/일반,Y,https://www.instagram.com/p_sssssssang/
47,parkkkf.f,개인/일반,Y,https://www.instagram.com/parkkkf.f/
48,pizzanaekkeo,푸드/카페,N,https://www.instagram.com/pizzanaekkeo/
49,roadup_,바이크/모빌리티,N,https://www.instagram.com/roadup_/
50,s2______ys,개인/일반,Y,https://www.instagram.com/s2______ys/
51,sandra.bullock.070,개인/일반,N,https://www.instagram.com/sandra.bullock.070/
52,seoyounggon,게임,N,https://www.instagram.com/seoyounggon/
53,seungggo,게임,N,https://www.instagram.com/seungggo/
54,shin_d.feel,개인/일반,N,https://www.instagram.com/shin_d.feel/
55,sippinremy_._,개인/일반,N,https://www.instagram.com/sippinremy_._/
56,skaniong,개인/일반,N,https://www.instagram.com/skaniong/
57,sl0wpeel,개인/일반,N,https://www.instagram.com/sl0wpeel/
58,so_ul_amazing_,개인/일반,N,https://www.instagram.com/so_ul_amazing_/
59,son_u_1,개인/일반,N,https://www.instagram.com/son_u_1/
60,sseu_____,개인/일반,Y,https://www.instagram.com/sseu_____/
61,stop__c,개인/일반,N,https://www.instagram.com/stop__c/
62,subss_,개인/일반,N,https://www.instagram.com/subss_/
63,thelavenderclub,개인/일반,N,https://www.instagram.com/thelavenderclub/
64,ts_660509,개인/일반,Y,https://www.instagram.com/ts_660509/
65,uppupu,개인/일반,N,https://www.instagram.com/uppupu/
66,uuxxzzllllhh,개인/일반,Y,https://www.instagram.com/uuxxzzllllhh/
67,vaniunv,개인/일반,N,https://www.instagram.com/vaniunv/
68,willis__brad,개인/일반,N,https://www.instagram.com/willis__brad/
69,ye_ringo,개인/일반,N,https://www.instagram.com/ye_ringo/
70,yeongwunam,개인/일반,N,https://www.instagram.com/yeongwunam/
71,yongkangs,개인/일반,N,https://www.instagram.com/yongkangs/
72,yubbnara,개인/일반,N,https://www.instagram.com/yubbnara/
