No,Username,Category,Is_Suspicious,Profile_URL
1,jooverr_,일반사용자/네일관심,N,https://www.instagram.com/jooverr_/
2,nailmood_mmr,네일/뷰티 전문가,N,https://www.instagram.com/nailmood_mmr/
3,yeonilnail,네일/뷰티 전문가,N,https://www.instagram.com/yeonilnail/
4,nyung_nail,네일/뷰티 전문가,N,https://www.instagram.com/nyung_nail/
5,mumoom_n2,일반사용자/네일관심,N,https://www.instagram.com/mumoom_n2/
6,bob2dolls,일반사용자/네일관심,N,https://www.instagram.com/bob2dolls/
7,cherish_yuki_,일반사용자/네일관심,N,https://www.instagram.com/cherish_yuki_/
8,naillove_khj,네일/뷰티 전문가,N,https://www.instagram.com/naillove_khj/
9,ramoon_nail,네일/뷰티 전문가,N,https://www.instagram.com/ramoon_nail/
10,_u_nail_,네일/뷰티 전문가,N,https://www.instagram.com/_u_nail_/
11,romande_nail,네일/뷰티 전문가,N,https://www.instagram.com/romande_nail/
12,hyojju_money,일반사용자/네일관심,N,https://www.instagram.com/hyojju_money/
13,roseme_nail,네일/뷰티 전문가,N,https://www.instagram.com/roseme_nail/
14,haz_nail,네일/뷰티 전문가,N,https://www.instagram.com/haz_nail/
15,lllooo.gg,일반사용자/네일관심,N,https://www.instagram.com/lllooo.gg/
16,nail_moodindigo,네일/뷰티 전문가,N,https://www.instagram.com/nail_moodindigo/
17,onex_nail_official,네일/뷰티 전문가,N,https://www.instagram.com/onex_nail_official/
18,sun_l2o,일반사용자/네일관심,N,https://www.instagram.com/sun_l2o/
19,ygnail_0502,네일/뷰티 전문가,N,https://www.instagram.com/ygnail_0502/
20,moon_jayoun,일반사용자/네일관심,N,https://www.instagram.com/moon_jayoun/
21,wang_nail,네일/뷰티 전문가,N,https://www.instagram.com/wang_nail/
22,min_nail_o3o7,네일/뷰티 전문가,N,https://www.instagram.com/min_nail_o3o7/
23,88_salon,네일/뷰티 전문가,N,https://www.instagram.com/88_salon/
24,mi_ne.nail,네일/뷰티 전문가,N,https://www.instagram.com/mi_ne.nail/
25,e_sook,일반사용자/네일관심,N,https://www.instagram.com/e_sook/
26,e_unbit.06,일반사용자/네일관심,N,https://www.instagram.com/e_unbit.06/
27,a.hab_nail,네일/뷰티 전문가,N,https://www.instagram.com/a.hab_nail/
28,y_da_um,일반사용자/네일관심,N,https://www.instagram.com/y_da_um/
29,_today__nail_,네일/뷰티 전문가,N,https://www.instagram.com/_today__nail_/
30,dearmin_nail,네일/뷰티 전문가,N,https://www.instagram.com/dearmin_nail/
31,in82468,일반사용자,N,https://www.instagram.com/in82468/
32,ancess_lighting,일반사용자/네일관심,N,https://www.instagram.com/ancess_lighting/
