No,Username,Category,Is_Suspicious,Profile_URL
1,kkomnyang._.tem,아이템/꿀템,정상,https://www.instagram.com/kkomnyang._.tem/
2,bunnyket0.0,개인/일반,정상,https://www.instagram.com/bunnyket0.0/
3,ggultang.pick,아이템/꿀템,정상,https://www.instagram.com/ggultang.pick/
4,moment_pick__,리뷰/추천,정상,https://www.instagram.com/moment_pick__/
5,housetail.life,홈/리빙,정상,https://www.instagram.com/housetail.life/
6,zerosalonmall,리뷰/추천,정상,https://www.instagram.com/zerosalonmall/
7,pick.ing.shop,리뷰/추천,정상,https://www.instagram.com/pick.ing.shop/
8,ourhome_sallim,살림 전문,정상,https://www.instagram.com/ourhome_sallim/
9,hometem_honeytem,홈/리빙,정상,https://www.instagram.com/hometem_honeytem/
10,homekkun,홈/리빙,정상,https://www.instagram.com/homekkun/
11,charm._.tem,아이템/꿀템,정상,https://www.instagram.com/charm._.tem/
12,edge__housetem,홈/리빙,정상,https://www.instagram.com/edge__housetem/
13,gonggamtem,아이템/꿀템,정상,https://www.instagram.com/gonggamtem/
14,jip._.sooni,홈/리빙,정상,https://www.instagram.com/jip._.sooni/
15,taste.home.note,홈/리빙,정상,https://www.instagram.com/taste.home.note/
16,ssol.tip_,팁/노하우,정상,https://www.instagram.com/ssol.tip_/
17,gomgom._.pick,리뷰/추천,정상,https://www.instagram.com/gomgom._.pick/
18,appa_pick,리뷰/추천,정상,https://www.instagram.com/appa_pick/
19,zipkootem,홈/리빙,정상,https://www.instagram.com/zipkootem/
20,ryo_mi__,개인/일반,정상,https://www.instagram.com/ryo_mi__/
21,salim.yang_17,살림 전문,정상,https://www.instagram.com/salim.yang_17/
22,itembasket,아이템/꿀템,정상,https://www.instagram.com/itembasket/
23,teiker.2023,개인/일반,정상,https://www.instagram.com/teiker.2023/
24,it_items_wannabe,아이템/꿀템,정상,https://www.instagram.com/it_items_wannabe/
25,homenual,홈/리빙,정상,https://www.instagram.com/homenual/
26,live_on.zip,홈/리빙,정상,https://www.instagram.com/live_on.zip/
27,fourseason_home,홈/리빙,정상,https://www.instagram.com/fourseason_home/
28,two_kids_dad_,육아/가족,정상,https://www.instagram.com/two_kids_dad_/
29,show_gom,개인/일반,정상,https://www.instagram.com/show_gom/
30,sallim.ittem,살림 전문,정상,https://www.instagram.com/sallim.ittem/
31,official._.norunja,개인/일반,정상,https://www.instagram.com/official._.norunja/
32,zi0home,홈/리빙,정상,https://www.instagram.com/zi0home/
33,myggul._.tem,아이템/꿀템,의심,https://www.instagram.com/myggul._.tem/
34,salim._.ittem,살림 전문,정상,https://www.instagram.com/salim._.ittem/
35,smileful_it,개인/일반,정상,https://www.instagram.com/smileful_it/
36,lucky.item3040,아이템/꿀템,정상,https://www.instagram.com/lucky.item3040/
37,luna__3100,개인/일반,의심,https://www.instagram.com/luna__3100/
38,jip.kimi,홈/리빙,정상,https://www.instagram.com/jip.kimi/
39,ourhome._.panda,홈/리빙,정상,https://www.instagram.com/ourhome._.panda/
40,homesmart_tv,홈/리빙,정상,https://www.instagram.com/homesmart_tv/
41,gangreviewqueen,리뷰/추천,정상,https://www.instagram.com/gangreviewqueen/
42,coming.__.home,홈/리빙,정상,https://www.instagram.com/coming.__.home/
43,vibe.edit__,개인/일반,정상,https://www.instagram.com/vibe.edit__/
44,ggyum2_note,개인/일반,정상,https://www.instagram.com/ggyum2_note/
45,gom._.zipsa,홈/리빙,정상,https://www.instagram.com/gom._.zipsa/
46,realife.housewife,홈/리빙,정상,https://www.instagram.com/realife.housewife/
47,salrim_actor,살림 전문,정상,https://www.instagram.com/salrim_actor/
48,baggum_tem,아이템/꿀템,정상,https://www.instagram.com/baggum_tem/
49,gyeongsang._.sister,육아/가족,정상,https://www.instagram.com/gyeongsang._.sister/
50,salimgom_,살림 전문,정상,https://www.instagram.com/salimgom_/
51,lalla_pick,리뷰/추천,정상,https://www.instagram.com/lalla_pick/
52,ddddd112ttd,개인/일반,의심,https://www.instagram.com/ddddd112ttd/
53,hometem_diary,홈/리빙,정상,https://www.instagram.com/hometem_diary/
54,salimcheongug,살림 전문,정상,https://www.instagram.com/salimcheongug/
55,dajung.papa,육아/가족,정상,https://www.instagram.com/dajung.papa/
56,seultem.1010,아이템/꿀템,정상,https://www.instagram.com/seultem.1010/
57,item.ground,아이템/꿀템,정상,https://www.instagram.com/item.ground/
58,tina._.home12,홈/리빙,정상,https://www.instagram.com/tina._.home12/
59,mykikku,개인/일반,정상,https://www.instagram.com/mykikku/
60,daily_homez,홈/리빙,정상,https://www.instagram.com/daily_homez/
61,temflex.official,아이템/꿀템,정상,https://www.instagram.com/temflex.official/
62,homy_zip,홈/리빙,정상,https://www.instagram.com/homy_zip/
63,gaemsung._.goods,개인/일반,정상,https://www.instagram.com/gaemsung._.goods/
64,sarlimtem,살림 전문,정상,https://www.instagram.com/sarlimtem/
65,ddoddo_home_,홈/리빙,정상,https://www.instagram.com/ddoddo_home_/
66,it._.tem,아이템/꿀템,정상,https://www.instagram.com/it._.tem/
67,salim_summary_zip,살림 전문,정상,https://www.instagram.com/salim_summary_zip/
68,poohsallim,살림 전문,정상,https://www.instagram.com/poohsallim/
69,salim_knowhow,살림 전문,정상,https://www.instagram.com/salim_knowhow/
70,daram.note,개인/일반,정상,https://www.instagram.com/daram.note/
71,home_d.one,홈/리빙,정상,https://www.instagram.com/home_d.one/
72,zzackpick,리뷰/추천,정상,https://www.instagram.com/zzackpick/
73,lazybones_1004,개인/일반,정상,https://www.instagram.com/lazybones_1004/
74,salim_katok,살림 전문,정상,https://www.instagram.com/salim_katok/
75,happy_home1004,홈/리빙,정상,https://www.instagram.com/happy_home1004/
76,livingmo_mo,홈/리빙,정상,https://www.instagram.com/livingmo_mo/
77,ogane328,개인/일반,정상,https://www.instagram.com/ogane328/
78,moodmarket,리뷰/추천,정상,https://www.instagram.com/moodmarket/
79,daram_dadaram,육아/가족,정상,https://www.instagram.com/daram_dadaram/
80,ssalim_tem,살림 전문,정상,https://www.instagram.com/ssalim_tem/
81,seonjibi24,개인/일반,정상,https://www.instagram.com/seonjibi24/
82,vivivian_tip,팁/노하우,정상,https://www.instagram.com/vivivian_tip/
83,cool._.house,홈/리빙,정상,https://www.instagram.com/cool._.house/
84,homecheck_zip,홈/리빙,정상,https://www.instagram.com/homecheck_zip/
85,saembi_pick,리뷰/추천,정상,https://www.instagram.com/saembi_pick/
86,songga_tip_,팁/노하우,정상,https://www.instagram.com/songga_tip_/
87,ttoktem_pick,아이템/꿀템,정상,https://www.instagram.com/ttoktem_pick/
88,ddakjoatem,아이템/꿀템,정상,https://www.instagram.com/ddakjoatem/
89,tip_house,홈/리빙,정상,https://www.instagram.com/tip_house/
90,salimtem_holic,살림 전문,정상,https://www.instagram.com/salimtem_holic/
91,zipgirok_,홈/리빙,정상,https://www.instagram.com/zipgirok_/
92,suzy_homie,홈/리빙,정상,https://www.instagram.com/suzy_homie/
93,homeggu_su,홈/리빙,정상,https://www.instagram.com/homeggu_su/
94,salim_hacker,살림 전문,정상,https://www.instagram.com/salim_hacker/
95,tini_home,홈/리빙,정상,https://www.instagram.com/tini_home/
96,salimtam_tam,살림 전문,정상,https://www.instagram.com/salimtam_tam/
97,ddolgol_zip,홈/리빙,정상,https://www.instagram.com/ddolgol_zip/
98,ddukddak_homess,홈/리빙,정상,https://www.instagram.com/ddukddak_homess/
99,thingofhome,홈/리빙,정상,https://www.instagram.com/thingofhome/
100,pinksugar_home,홈/리빙,정상,https://www.instagram.com/pinksugar_home/
101,salimlife._.story,살림 전문,정상,https://www.instagram.com/salimlife._.story/
102,housebook7,홈/리빙,정상,https://www.instagram.com/housebook7/
103,songilhwan73,개인/일반,정상,https://www.instagram.com/songilhwan73/
104,mungchi0_0,개인/일반,정상,https://www.instagram.com/mungchi0_0/
105,ttokttokhomediary,홈/리빙,정상,https://www.instagram.com/ttokttokhomediary/
106,jjinssalim_story,살림 전문,정상,https://www.instagram.com/jjinssalim_story/
107,eojji_pick,리뷰/추천,정상,https://www.instagram.com/eojji_pick/
108,housemate_tip,홈/리빙,정상,https://www.instagram.com/housemate_tip/
109,harunsalim7,살림 전문,정상,https://www.instagram.com/harunsalim7/
110,h0me_l0ve,개인/일반,정상,https://www.instagram.com/h0me_l0ve/
111,onepick_tip,리뷰/추천,정상,https://www.instagram.com/onepick_tip/
112,coupang_salim_,살림 전문,정상,https://www.instagram.com/coupang_salim_/
113,jipjak,홈/리빙,정상,https://www.instagram.com/jipjak/
114,love_my_house_,홈/리빙,정상,https://www.instagram.com/love_my_house_/
115,salimlab,살림 전문,정상,https://www.instagram.com/salimlab/
116,ttoktokkkotchang,개인/일반,정상,https://www.instagram.com/ttoktokkkotchang/
117,housefactory__,홈/리빙,정상,https://www.instagram.com/housefactory__/
118,home_honey__,홈/리빙,정상,https://www.instagram.com/home_honey__/
119,gogo_homeplace,홈/리빙,정상,https://www.instagram.com/gogo_homeplace/
120,homedoci_note,홈/리빙,정상,https://www.instagram.com/homedoci_note/
121,honeytip_hh,아이템/꿀템,정상,https://www.instagram.com/honeytip_hh/
122,jeompajjang,개인/일반,정상,https://www.instagram.com/jeompajjang/
123,pick.2buy,리뷰/추천,정상,https://www.instagram.com/pick.2buy/
124,livinghack_zip,홈/리빙,정상,https://www.instagram.com/livinghack_zip/
125,roda._.pick,리뷰/추천,정상,https://www.instagram.com/roda._.pick/
126,review_mom95,리뷰/추천,정상,https://www.instagram.com/review_mom95/
127,daramgi._.note,개인/일반,정상,https://www.instagram.com/daramgi._.note/
128,simpleliferoom,홈/리빙,정상,https://www.instagram.com/simpleliferoom/
129,potatosallim,살림 전문,정상,https://www.instagram.com/potatosallim/
130,all._.pick,리뷰/추천,정상,https://www.instagram.com/all._.pick/
131,salim_vvv,살림 전문,정상,https://www.instagram.com/salim_vvv/
132,homekkumteo,홈/리빙,정상,https://www.instagram.com/homekkumteo/
133,homepanda39,홈/리빙,정상,https://www.instagram.com/homepanda39/
134,life_master_tips,팁/노하우,정상,https://www.instagram.com/life_master_tips/
135,salim_kkon,살림 전문,정상,https://www.instagram.com/salim_kkon/
136,anh5683,개인/일반,의심,https://www.instagram.com/anh5683/
137,_home_ground,홈/리빙,정상,https://www.instagram.com/_home_ground/
138,sunny__pick,리뷰/추천,정상,https://www.instagram.com/sunny__pick/
139,jjintem_zip,홈/리빙,정상,https://www.instagram.com/jjintem_zip/
140,temsalim__,살림 전문,정상,https://www.instagram.com/temsalim__/
141,item_tok_,아이템/꿀템,정상,https://www.instagram.com/item_tok_/
142,jjin_item_,아이템/꿀템,정상,https://www.instagram.com/jjin_item_/
143,salim_gosu99,살림 전문,정상,https://www.instagram.com/salim_gosu99/
144,thrifty_mama_,개인/일반,정상,https://www.instagram.com/thrifty_mama_/
145,houserun_today,홈/리빙,정상,https://www.instagram.com/houserun_today/
146,salimmaru_,살림 전문,정상,https://www.instagram.com/salimmaru_/
147,vlog_maru,개인/일반,정상,https://www.instagram.com/vlog_maru/
