username,source_post,is_real_user
_ha_yeon_02,DVlRVuakmGV,Y
medume_yaa,DVdf_cLEvta,Y
yun159.100,DVdf_cLEvta,Y
songjoo.0,DVlRVuakmGV,Y
ssso_y,DVlRVuakmGV,Y
m.04st,DVlRVuakmGV|DVdf_cLEvta,Y
2o2lo5ll,DVdf_cLEvta,Y
k_eeeunn901,DVN-sKVkur8,Y
mmn_mj,DVdf_cLEvta,Y
loo_li_tteong,DVN-sKVkur8,Y
iuiuzz,DV_CxIaErGN,Y
ssamzzi9,DVlRVuakmGV,Y
dieinsslaodjfb,DV_CxIaErGN,Y
caindigo124,DVN-sKVkur8,Y
other.table,DV_CxIaErGN,Y
ari.lunene,DV_CxIaErGN,Y
__a_raaa_,DVN-sKVkur8,Y
chaminju3435,DV_CxIaErGN,Y
_lucky____y,DVN-sKVkur8,Y
_jminss_,DVlRVuakmGV,Y
u_thing_,DVN-sKVkur8,Y
urluvsu,DVdf_cLEvta,Y
yeongwunam,DV_CxIaErGN|DVdf_cLEvta|DVN-sKVkur8,Y
10v_111,DVN-sKVkur8,Y
jeanis_right,DVdf_cLEvta,Y
a_ra.m,DVN-sKVkur8,Y
lovelyjjh_,DVlRVuakmGV,Y
nowistiming,DVlRVuakmGV|DVdf_cLEvta,Y
luuuu_u_,DVdf_cLEvta,Y
kimeunyoung79,DV_CxIaErGN,Y
bora_bora_choi,DV_CxIaErGN,Y
ssseunghee____,DVN-sKVkur8,Y
r.jisuni,DV_CxIaErGN,Y
gyomnini,DVN-sKVkur8,Y
lovely_euijin,DVN-sKVkur8,Y
pu_reumiiii,DVN-sKVkur8,Y
aw_yeees,DVlRVuakmGV,Y
takata_yukiii,DVdf_cLEvta,Y
jini_s99,DVlRVuakmGV,Y
lajcnns_772,DVdf_cLEvta,Y
joannebanks__,DVlRVuakmGV,Y
ohnsaemom,DVdf_cLEvta,Y
____yp3,DVN-sKVkur8,Y
sssong_va,DV_CxIaErGN,Y
seo_yeon1123,DVlRVuakmGV,Y
kosinkko,DV_CxIaErGN,Y
sujeong2ng,DVlRVuakmGV|DV_CxIaErGN,Y
pidhabcjjjjjdkwkw,DVdf_cLEvta,Y
gemmaryu,DVdf_cLEvta,Y
jy_eun,DVdf_cLEvta,Y
hohiho777790,DV_CxIaErGN,Y
harang1221,DVlRVuakmGV,Y
ryeonne_,DV_CxIaErGN,Y
nanirowoo,DV_CxIaErGN,Y
kkminss,DV_CxIaErGN,Y
cachalime,DVN-sKVkur8,Y
lhana_style,DVlRVuakmGV,Y
y__g_ydh,DVlRVuakmGV,Y
