No,Username,Category,Is_Suspicious,Profile_URL
1,2u_pearl,육아/가족,N,https://www.instagram.com/2u_pearl/
2,8309pjh,개인/일반,Y,https://www.instagram.com/8309pjh/
3,_____y.u.r_____,개인/일반,Y,https://www.instagram.com/_____y.u.r_____/
4,_clean__living,살림/홈,N,https://www.instagram.com/_clean__living/
5,_ejihye,개인/일반,N,https://www.instagram.com/_ejihye/
6,_wo._.ni,개인/일반,Y,https://www.instagram.com/_wo._.ni/
7,ajerago,개인/일반,N,https://www.instagram.com/ajerago/
8,babymihee,육아/가족,N,https://www.instagram.com/babymihee/
9,binggohome,살림/홈,N,https://www.instagram.com/binggohome/
10,bliss.bx,개인/일반,Y,https://www.instagram.com/bliss.bx/
11,bliss_so_o119,개인/일반,N,https://www.instagram.com/bliss_so_o119/
12,bok_dragon_,개인/일반,N,https://www.instagram.com/bok_dragon_/
13,bongjeongjeong,개인/일반,N,https://www.instagram.com/bongjeongjeong/
14,bossam_0317,요리/주방,N,https://www.instagram.com/bossam_0317/
15,bubbly_hee10.03,육아/가족,Y,https://www.instagram.com/bubbly_hee10.03/
16,charming_hh,뷰티/패션,Y,https://www.instagram.com/charming_hh/
17,datefit.jy,뷰티/패션|건강/운동,N,https://www.instagram.com/datefit.jy/
18,dayoung.0_0,개인/일반,N,https://www.instagram.com/dayoung.0_0/
19,dddd_sz,개인/일반,Y,https://www.instagram.com/dddd_sz/
20,ddo_twins_dodo,육아/가족,N,https://www.instagram.com/ddo_twins_dodo/
21,dearsol_mommy,육아/가족,N,https://www.instagram.com/dearsol_mommy/
22,e_4930,개인/일반,Y,https://www.instagram.com/e_4930/
23,eebibi_,개인/일반,N,https://www.instagram.com/eebibi_/
24,ellie_eun20,육아/가족,N,https://www.instagram.com/ellie_eun20/
25,emfmdemfmd_.a,개인/일반,Y,https://www.instagram.com/emfmdemfmd_.a/
26,en_enlla,개인/일반,N,https://www.instagram.com/en_enlla/
27,eom_sso0802,개인/일반,N,https://www.instagram.com/eom_sso0802/
28,eun___hye_,육아/가족,N,https://www.instagram.com/eun___hye_/
29,family_story1,육아/가족,Y,https://www.instagram.com/family_story1/
30,g._.rami99,개인/일반,N,https://www.instagram.com/g._.rami99/
31,graysorrow23,개인/일반,N,https://www.instagram.com/graysorrow23/
