No,Username,Category,Is_Suspicious,Profile_URL
1,17082506.s,개인/일반,Y,https://www.instagram.com/17082506.s/
2,5hyo_,개인/일반,N,https://www.instagram.com/5hyo_/
3,8034ymy,개인/일반,Y,https://www.instagram.com/8034ymy/
4,90l03l,개인/일반,Y,https://www.instagram.com/90l03l/
5,_.luv.by___j,뷰티/패션,N,https://www.instagram.com/_.luv.by___j/
6,______mg___,개인/일반,Y,https://www.instagram.com/______mg___/
7,__ssun_yoon,개인/일반,N,https://www.instagram.com/__ssun_yoon/
8,_na_na39,개인/일반,N,https://www.instagram.com/_na_na39/
9,_nanoomi,개인/일반,N,https://www.instagram.com/_nanoomi/
10,_okey_dokey_yo,개인/일반,N,https://www.instagram.com/_okey_dokey_yo/
11,_sshhlove_,뷰티/패션,N,https://www.instagram.com/_sshhlove_/
12,a84621717,개인/일반,Y,https://www.instagram.com/a84621717/
13,ahr___yeonwoomom,육아/맘,N,https://www.instagram.com/ahr___yeonwoomom/
14,anessjin,개인/일반,N,https://www.instagram.com/anessjin/
15,anni.mom,육아/맘,N,https://www.instagram.com/anni.mom/
16,areumm0418,개인/일반,N,https://www.instagram.com/areumm0418/
17,baby_eungyu,육아/맘,N,https://www.instagram.com/baby_eungyu/
18,bborinanamom,육아/맘,N,https://www.instagram.com/bborinanamom/
19,benevolent_woo,개인/일반,N,https://www.instagram.com/benevolent_woo/
20,cae.hee,개인/일반,N,https://www.instagram.com/cae.hee/
21,chaeheerish,개인/일반,N,https://www.instagram.com/chaeheerish/
22,chaewone.j,개인/일반,N,https://www.instagram.com/chaewone.j/
23,choi___oo,개인/일반,N,https://www.instagram.com/choi___oo/
24,choimina1239,개인/일반,N,https://www.instagram.com/choimina1239/
25,conncet_official,개인/일반,N,https://www.instagram.com/conncet_official/
26,cooing_kongkong,개인/일반,N,https://www.instagram.com/cooing_kongkong/
27,deceun,개인/일반,N,https://www.instagram.com/deceun/
28,dongheeeun1216,개인/일반,N,https://www.instagram.com/dongheeeun1216/
29,ehaneyehaney,개인/일반,N,https://www.instagram.com/ehaneyehaney/
30,eunju.han.405,개인/일반,N,https://www.instagram.com/eunju.han.405/
